Timestamp,CPU_%,RAM_GB,GPU_%,VRAM_GB
19:46:41,0.0,11.07,9.0,9.51
19:46:43,11.1,11.04,10.0,9.52
19:46:45,15.2,10.8,20.0,9.55
19:46:47,12.5,10.82,12.0,9.56
19:46:49,5.5,10.83,12.0,9.56
19:46:51,11.0,10.78,11.0,9.54
19:46:53,4.9,10.8,11.0,9.53
19:46:55,13.4,10.94,10.0,9.54
19:46:57,14.3,11.0,8.0,9.59
19:46:59,8.9,11.03,6.0,9.69
19:47:01,11.4,11.05,91.0,9.69
19:47:03,20.5,10.95,88.0,9.71
19:47:05,19.8,10.85,11.0,9.7
19:47:07,7.0,10.79,11.0,9.7
19:47:09,7.0,10.71,13.0,9.67
19:47:11,6.9,10.66,13.0,9.67
19:47:13,5.6,10.59,13.0,9.66
19:47:15,6.8,10.53,13.0,9.66
19:47:17,7.5,10.46,13.0,9.66
19:47:19,7.0,10.39,13.0,9.66
19:47:21,5.0,10.41,13.0,9.66
19:47:23,3.8,10.41,13.0,9.66
19:47:25,13.6,10.44,92.0,9.7
19:47:27,18.2,10.45,93.0,9.73
19:47:29,18.4,10.47,91.0,9.74
19:47:31,7.2,10.49,11.0,9.73
19:47:33,5.4,10.48,12.0,9.71
19:47:35,7.5,10.49,14.0,9.76
19:47:37,9.7,10.48,15.0,9.73
19:47:39,4.5,10.46,15.0,9.73
19:47:41,6.1,10.46,15.0,9.71
19:47:43,6.2,10.47,15.0,9.71
19:47:45,5.2,10.46,15.0,9.71
19:47:47,8.3,10.45,15.0,9.71
19:47:49,4.7,10.52,15.0,9.7
19:47:51,5.9,10.5,15.0,9.7
19:47:53,6.6,10.52,15.0,9.7
19:47:55,5.0,10.48,15.0,9.7
19:47:57,9.1,10.49,15.0,9.7
19:47:59,4.4,10.49,15.0,9.7
19:48:01,5.1,10.49,15.0,9.7
19:48:03,6.8,10.51,14.0,9.7
19:48:05,4.9,10.5,14.0,9.7
19:48:07,9.2,10.51,14.0,9.7
19:48:09,4.2,10.51,14.0,9.7
19:48:11,4.5,10.51,14.0,9.7
19:48:13,5.6,10.51,14.0,9.7
19:48:15,4.9,10.52,14.0,9.69
19:48:17,12.8,10.66,15.0,9.74
19:48:19,8.2,10.45,14.0,9.8
19:48:21,5.2,10.46,15.0,9.76
19:48:23,5.8,10.47,14.0,9.72
19:48:25,20.8,10.35,89.0,9.74
19:48:28,19.0,10.36,18.0,9.76
19:48:30,10.5,10.28,17.0,9.75
19:48:32,8.2,10.28,23.0,9.78
19:48:34,10.9,10.22,18.0,9.76
19:48:36,6.5,10.23,21.0,9.76
19:48:38,8.6,10.23,21.0,9.75
19:48:40,6.4,10.23,21.0,9.74
19:48:42,5.8,10.22,20.0,9.74
19:48:44,10.0,10.3,20.0,9.74
19:48:46,6.9,10.31,20.0,9.73
19:48:48,8.9,10.31,21.0,9.73
19:48:50,6.4,10.31,21.0,9.73
19:48:52,6.0,10.31,21.0,9.73
19:48:54,15.3,10.35,5.0,9.75
19:48:56,17.4,10.29,93.0,9.72
19:48:58,8.4,10.28,17.0,9.72
19:49:00,6.6,10.28,20.0,9.71
19:49:02,7.8,10.27,19.0,9.71
19:49:04,8.2,10.28,20.0,9.71
19:49:06,7.5,10.22,20.0,9.71
19:49:08,8.5,10.23,20.0,9.71
19:49:10,7.0,10.24,19.0,9.71
19:49:12,9.2,10.24,16.0,9.72
19:49:14,9.8,10.28,17.0,9.74
19:49:16,5.8,10.27,17.0,9.71
19:49:18,7.5,10.28,17.0,9.71
19:49:20,7.2,10.3,14.0,9.77
19:49:22,7.7,10.25,19.0,9.77
19:49:24,5.4,10.23,13.0,9.77
19:49:26,9.3,10.25,13.0,9.77
19:49:28,5.9,10.25,13.0,9.73
19:49:30,8.8,10.26,16.0,9.77
19:49:32,7.4,10.25,13.0,9.74
